Timestamp	What is the name of your club?	What day(s) does your club meet?	When does your club meet?	Where does your club meet?	Who is your teacher supervisor(s)?	Primary email address	Please give a brief paragraph description of your club	Link to main image for your club (optional)		Tile image
13/09/2016 23:20:15	Arts Council	Thursdays	Start of Lunch	Room 225	Ms. Klokoff	derrekchow@hotmail.com	Arts Council is a club for anybody who is interested in promoting and planning events for the school that involve the arts (music, drama, visual arts dance etc)! Our goal is to make the school a better environment through promoting the arts, and you will have the fantastic opportunity to run events and earn volunteer hours. Some activities we plan on running this year include an Artist of the Month award, painting wall murals, and Music Madness Week.	https://lh3.googleusercontent.com/XmYSC5oG8imeJmLZ0V738NG8__5kwQEWjq6Euh4Lc16VigvQg_g8s956tbO3lxEds8VHDpq0J62SMZW6Xn-Jct2TspeAQFn_G3hlTqIbEFISjs_YVzFhwNh1Cj9N3h3E8ODvWHZFJedHFdm8WuiKhcbaUhaYnQtjhKpUJ1f8Kk-t-FRw-it4vaPTI5mH7dapLTpEy6G6WRyx8yCqI2rQKlRGpvu3FtCAgDE2_7ziGuCYLEmnVoZvltdVNft_PsnjlqtaT4iq4ysTVjHlj0iOnfCMHwHF46u7V8Pqyd0SPbN0kQtYEpzg5imENDr2Jp8Bc1a9q6wPHTd8guVtSNrvvjqAPJmb4Hcjg_VbA1muqNWEDJR83-ARfPHy722uK3M_3rFHWz7kpN7gA4Rd0opjEDmv7hWkx5M5A2Jr0ctGO2waPph10jTBpq7NmdxD-zew1l1YccOV6T6cIVBlQeY7eTto-fKjlTCLuCO3ewz3RIi-iOxeyJylT-SE2He-5uI7Y2mstOKORT8Wum30mUhpOEkpLn2zE1Y-XfV2zNFdlCW5zqE0oRZMzMT-DRTqmrACAGhkXhKQlM2pKzauysGHvsAEnql_AOAGI3f13ZkBqOExqYBv=s803-no		https://lh3.googleusercontent.com/XmYSC5oG8imeJmLZ0V738NG8__5kwQEWjq6Euh4Lc16VigvQg_g8s956tbO3lxEds8VHDpq0J62SMZW6Xn-Jct2TspeAQFn_G3hlTqIbEFISjs_YVzFhwNh1Cj9N3h3E8ODvWHZFJedHFdm8WuiKhcbaUhaYnQtjhKpUJ1f8Kk-t-FRw-it4vaPTI5mH7dapLTpEy6G6WRyx8yCqI2rQKlRGpvu3FtCAgDE2_7ziGuCYLEmnVoZvltdVNft_PsnjlqtaT4iq4ysTVjHlj0iOnfCMHwHF46u7V8Pqyd0SPbN0kQtYEpzg5imENDr2Jp8Bc1a9q6wPHTd8guVtSNrvvjqAPJmb4Hcjg_VbA1muqNWEDJR83-ARfPHy722uK3M_3rFHWz7kpN7gA4Rd0opjEDmv7hWkx5M5A2Jr0ctGO2waPph10jTBpq7NmdxD-zew1l1YccOV6T6cIVBlQeY7eTto-fKjlTCLuCO3ewz3RIi-iOxeyJylT-SE2He-5uI7Y2mstOKORT8Wum30mUhpOEkpLn2zE1Y-XfV2zNFdlCW5zqE0oRZMzMT-DRTqmrACAGhkXhKQlM2pKzauysGHvsAEnql_AOAGI3f13ZkBqOExqYBv=s803-no
14/09/2016 11:26:19	Athletic Council	Tuesdays	Start of Lunch	Room 124	Ms. Busby	busbyc@hdsb.ca	We organize special sporting events such as student teacher sporting events, inside ride and assist with pink events. We also organize ridge wear and the athletic banquet.	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Athletics_pictogram.svg/2000px-Athletics_pictogram.svg.png		https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Athletics_pictogram.svg/2000px-Athletics_pictogram.svg.png
18/09/2016 22:06:43	Because I am a Girl	Tuesdays	Start of Lunch	Room 204	Ms Leahy and Ms Steven	1vassoslau@hdsb.ca	We are a club that works to raise awareness to help empower young girls and women in developing countries in the world. Young girls in these countries are denied the right to go to school, are forced to marry , live in poverty and are denied many human rights just because they're girls. We want to raise awareness about this in the school and the community and encourage people to help.  This is a great way to get involved at the Ridge, as we have events planned throughout the year ! Our 2 main events so far are Karaoke night in May and the Take Back the Night walk in December. We are also planning to have a stand at this year's Pink Football game. There are more events to come during the year.	https://sarahmjamieson.files.wordpress.com/2011/09/biag-support-magenta1.jpg		http://static1.squarespace.com/static/513a86bee4b0b5df0ebbbebf/t/55ef2e95e4b093104e6fe508/1441738390926/
14/09/2016 11:24:06	Book Club	Tuesdays	After School	Library		1cheungiva@gmail.com	This is a club for those interested in reading and presenting read information in speech and essay format. We plan to read a book every two weeks and write a summary, personal interpretation and review for each, then presenting it verbally by the end of the fortnight	http://www.sjrotary.org/images/Book%20club.jpg		http://www.sjrotary.org/images/Book%20club.jpg
13/09/2016 12:01:41	Chess Club	Wednesdays	Start of Lunch	Room 301	Ms. Barsan	1liujas2@hdsb.ca	Chess is a way to sharpen your analyzing, strategizing and logical thinking skills. It is a fun and interactive game that everybody can join in. We provide chessboards and pieces as well as tips on how to improve your chess game. This year we would like to start a chess club and are planning on hosting events such as tournaments, as well as chess challenges and puzzles. We are hoping to spark an interest of chess in students.   	http://ohfact.1ygkv60km.netdna-cdn.com/wp-content/uploads/2016/06/chess.jpg		http://rochesterchessclub.org/jpgs/chessclub.jpg
13/09/2016 20:58:56	Chinese Culture Club	Thursdays	After School	Room 142	Ms. Benson	1luomeg@hdsb.ca	This club is letting students know well about the Chinese culture. They can learn from us what they want to know, and it is a great opportunity to know more about Chinese culture. 	http://www.thebeijinger.com/sites/default/files/thebeijinger/blog-images/265699/6826-chinese-culture.jpg		http://www.thebeijinger.com/sites/default/files/thebeijinger/blog-images/265699/6826-chinese-culture.jpg
14/09/2016 08:04:27	Concert Choir	Wednesdays	After School	Room 139	Ms. Belanger	belangerc@hdsb.ca	Concert Choir is a performance choir open to all students of the Ridge! We look for exciting opportunities to share music with our fellow students, the Oakville community, and beyond!	https://lh3.googleusercontent.com/ZRnFsxJ7ZzgKLi5iv_7eQNjBhGcMgAVkTXjS_z5AjRpU5uKrQVItxrlIhqqf1y9KI4W0EZrcIFHkszyjt-OKSOR8pp23WE-RgmUNv5mNJ0Afsqg-eFNRFb2Qc62AAn3P5wNskIjuVBNl4ljb_iyH--aP2fkpHygyQdNKkx_DjQBmtxkB9YHnvUy8BuvVpT8fysz0-ZT1Y5R6hTXXrjBKyl6moPge8TvsoXT0d4yxpYaPOUEzMCLmDc0GOIDq67t-3KbzkbVurTxAeMNU7zu_y6nfaZZwdob45UjUcv3vdA3H6Z_5RGXVbHzNYrd_LSW7cm4CO0nK88qAryOAVkPTugV_JeB7gEcGAnZgk66ssX6lgtqMDsj5pcz3RNdD1OtsR3gnAUUBnw2WapvcmjAVJjX8oxxSa2CZztepQTFZfAA3gT0rf9pYrSjcPUzvQR-atbaqzMJ__9ox2L6_tpmRMvuTsV9Gc4oK8t1fsDnjkuVPWfmUxAmEFiF9tEhs2gGgmJNaIG1J2t-20JojsQiDCALWm8fZNVkGduOy28llxtKAUeTufCFhwtbTq1-Hfg2TcAC_xrW1lBO3xdUJz0ZlnOYz7Kry9jnLqziEWY35ewxuD_CD=w640-h426-no		http://images.clipartpanda.com/music-notes-symbols-clip-art-music-symbols.png
13/09/2016 16:22:56	DECA	Mondays, Tuesdays, Wednesdays, Thursdays	After School	To be determined. 	Mr. Fisher	1mengjes@hdsb.ca	DECA is the largest youth business organization in Ontario. IRHS DECA is a large and growing club where members would participate and compete in an event of their choice. DECA is a great way to meet lots of other people with similar interest across Ontario and to apply your business skills in the real life world through a case study. There are 3 levels of competition: regional in Hamilton in November, provincial for 2 days in Toronto in February and also Internationals (ICDC) in Anaheim, California for a week. Learn more about us at our website: www.irhsdeca.com 	https://lh3.googleusercontent.com/6Bi4u-LYPfEJDYgh8MtkPY6GCCAwIEEWC3jyKE4exxRj233QoTiR77UzzYUbZFfZi3bMDqFmZSl20dQlQdsUPtaMBRDJR18udu84BqkCpvGCFy4c93NUsRjpST2OkcE3xBz9gGeTyn-UINJgXZbkfTdbhwWCmYbaQRgqw-3FraOdgZcVJxpkxG7vHKpeVn_0TPCw07wX5l3xwEJd9hcibCSk-RN1sKp-6unPDDU7gHQtpgDmKUUS4BoQo_yYuV9WhKpCbjI561JOzh30Ef4RD8iK6Bdy__79eYZvDWDoFZPx3McGhzNq9CRzT6WHcgi-mKjejwTHPe_BTgdcKaaPIyx9Mv90E9Yt18W2tDQmjye0bK2CFDOz9RBAAwcZpk9oZDcqRfYoOQ2LDGf1Y8VZeeWowRnHUEGx7PLfHYgRBQ7b-uUTH_K2MlN9YlEEMG3-qWnt0_h889xtDxr93UEdL20CtJ954ym7LqdZEU4JknVrXW9hYJItkbplkJNhdK3O-ZNSmVwoyAA60w2Yx_PKLGcBO2lmcWBLyAR4nE9yviKbV1b_T52yjI-dt0hnpce-zSBuNykc5v9yBcKXCrb4EaXb-j0Oi0-zFX6yP91WBMyUnxvx=w482-h477-no		https://lh3.googleusercontent.com/6Bi4u-LYPfEJDYgh8MtkPY6GCCAwIEEWC3jyKE4exxRj233QoTiR77UzzYUbZFfZi3bMDqFmZSl20dQlQdsUPtaMBRDJR18udu84BqkCpvGCFy4c93NUsRjpST2OkcE3xBz9gGeTyn-UINJgXZbkfTdbhwWCmYbaQRgqw-3FraOdgZcVJxpkxG7vHKpeVn_0TPCw07wX5l3xwEJd9hcibCSk-RN1sKp-6unPDDU7gHQtpgDmKUUS4BoQo_yYuV9WhKpCbjI561JOzh30Ef4RD8iK6Bdy__79eYZvDWDoFZPx3McGhzNq9CRzT6WHcgi-mKjejwTHPe_BTgdcKaaPIyx9Mv90E9Yt18W2tDQmjye0bK2CFDOz9RBAAwcZpk9oZDcqRfYoOQ2LDGf1Y8VZeeWowRnHUEGx7PLfHYgRBQ7b-uUTH_K2MlN9YlEEMG3-qWnt0_h889xtDxr93UEdL20CtJ954ym7LqdZEU4JknVrXW9hYJItkbplkJNhdK3O-ZNSmVwoyAA60w2Yx_PKLGcBO2lmcWBLyAR4nE9yviKbV1b_T52yjI-dt0hnpce-zSBuNykc5v9yBcKXCrb4EaXb-j0Oi0-zFX6yP91WBMyUnxvx=w482-h477-no
07/11/2016 11:56:59	Discovery	Fridays	Start of Lunch	135b	Mr. Oak	1shamimabd@hdsb.ca	In Discovery club, members will discuss fascinating current advances in science and technology. This will push students to go beyond the classroom, and enable them to discovery alternative topics that may align with their interests more than the traditional science classroom content. This will allow students to explore interesting topics like: CRISPR (genetics), gravitational waves, and Elon Musk's plans for interplanetary travel.			
13/09/2016 19:20:20	Duke of Edinburgh	Once a month check up with members to see improvements	Start of Lunch	Room 213	Ms. Blue	1olusanyanat@hdsb.ca	DOE is an international program created by the Duke of Edinburgh, the program includes four categories known as volunteering, physical exercise, skill and adventurous journey. Duke of Edinburgh is powerful for your development because it teaches you skills that are crucial to your survival, as you will have the opportunity to go on an adventurous journey. It will also help you to adopt personality traits all future employers will want such as dedication, stamina, initiative and much more. 	http://www.redlands.qld.edu.au/images/default-source/outdoor-education/duke-of-ed.jpg?sfvrsn=2		http://www.agesture.org/wp-content/uploads/2012/09/DukeEd_Logo_rgb_JPEG-300x300.jpg
